anime_id,prediction_explicit,prediction_implicit,novelty,genres,name,type,episodes,aired,producers,licensors,studios,source,duration,rating,synopsis,image_url,unknown,score
3297,0.8824723362922668,0.0002877988736145,3.32273521439976,"Sci-Fi, Slice of Life, Fantasy, Shounen",ARIA The ORIGINATION,TV,13,"Jan 8, 2008 to Apr 1, 2008","TV Tokyo, Shochiku, Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,24 min. per ep.,G - All Ages,"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.

Aria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.",https://cdn.myanimelist.net/images/anime/1394/129606.jpg,0.6455516853530182,0.8350882061044171
2494,0.7366731762886047,0.0001269019849132,2.582121496600891,"Harem, Comedy, Ecchi, Fantasy",ご愁傷さま二ノ宮くん,TV,12,"Oct 5, 2007 to Dec 21, 2007",Kadokawa Shoten,Funimation,AIC Spirits,Light novel,24 min. per ep.,R+ - Mild Nudity,"Shungo Ninomiya is just an ordinary, run-of-the-mill high school student who lives at home with his older sister Ryoko—at least when she's not away doing her job as a mercenary. However, Shungo's life ceases to be normal the moment a cute girl named Mayu Tsukimura descends into the middle of his school's campus in a military-grade helicopter. It turns out Ryoko sent this girl, along with her older brother Mikihiro, to live at the Ninomiya household.

But the newly-arrived siblings are a little special: Mayu is, in fact, a succubus and her brother, an incubus! And as if the circumstances are not problematic enough, Mayu is crippled with androphobia—the fear of men—and it's up to Shungo to help her overcome this at the behest of his sister. Ryoko plans to force Mayu to be closer to Shungo, and to do this, she’ll employ some questionable methods such as having them share the same bed and even take baths together. 

The situation further complicates when student council president Reika Houjou arrives as the new maid of the Ninomiya family, and she will stop at nothing to thwart Shungo and Mayu’s sexually-geared training. With the sudden arrival of all these oddities, Shungo's ordinary life is about to be thrown into utter turmoil.",https://cdn.myanimelist.net/images/anime/6/75603.jpg,0.9142530409925047,0.7721891492293848
10079,0.7179169654846191,4.080206053913571e-05,2.811909590633769,"Comedy, Ecchi, Harem, Romance, School",星空へ架かる橋,TV,12,"Apr 11, 2011 to Jun 27, 2011","Dentsu, Sotsu, Marvelous, Pony Canyon, feng, PRA, Jumondo",Unknown,Doga Kobo,Visual novel,25 min. per ep.,R+ - Mild Nudity,"Kazuma Hoshino is preparing himself for a new stage of his life as a teenager. Because of his brother Ayumu's weaker than average health, their parents thought it best for the family to move out from the city to a more rural environment. Now the two brothers are off to the Yorozuyo Inn where they’ll be staying until their parents can settle affairs back in the city and set up their new home.

Their arrival to the inn doesn't go as planned though when they catch the wrong bus, wind up in the middle of nowhere, Ayumu gets his hat stolen by a wild monkey, and Kazuma gets lost in the woods trying to track the animal down. It all leads to a chance encounter with a spirited young girl named Ui, who Kazuma ends up accidentally falling onto and kissing while she tries leading him back to the bus stop. This hardly sits well with Ui’s friend Ibuki who swiftly kicks Kazuma and sends him on his way. Much to Kazuma's continued horror, his bad luck is perpetuated at the inn thanks to its landlady Senka and her slightly perverted sense of humor, and then finding out that two of his classmates are the girls he embarrassed himself in front of back in the woods!

Hoshizora e Kakaru Hashi finds Kazuma adapting to his new school, dealing with the multiple women who have entered his life, providing emotional support for his younger brother, and coping with living with his new landlady. However, for some reason, something about this place is bringing whispers of the past into Kazuma's mind. Small flashes back to a more innocent time and a friendship long forgotten. What could this déjà vu mean?",https://cdn.myanimelist.net/images/anime/3/73521.jpg,0.9457248867530083,0.763478549738297
4181,0.8424660563468933,0.1746632605791092,1.1761543698822954,"Slice of Life, Comedy, Supernatural, Drama, Romance",CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,TV,24,"Oct 3, 2008 to Mar 27, 2009","Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,"Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.

Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.

Based on the visual novel by Key and produced by Kyoto Animation, Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.",https://cdn.myanimelist.net/images/anime/1299/110774.jpg,0.3901960296450826,0.7520120510065311
5205,0.758520781993866,0.001229113084264,2.4636028963655536,"Action, Mystery, Supernatural, Romance, Thriller",劇場版 空の境界 the Garden of sinners 第七章『殺人考察（後）』,Movie,1,"Aug 8, 2009",Notes,Aniplex of America,ufotable,Light novel,2 hr. 1 min.,R - 17+ (violence & profanity),"In February 1999, a string of murders has Shiki Ryougi and Mikiya Kokutou on edge. These crimes share a disturbing resemblance to a similar set of homicides from 1995, when Shiki and Mikiya first met, and awaken a dark, murderous desire that has laid dormant within Shiki's soul ever since then.

With Shiki under suspicion due to her involvement in the past killings and supposed resemblance to the killer, she and Mikiya set out to find the true perpetrator. In the midst of their separate investigations, Mikiya grows increasingly concerned with Shiki's well-being and hurries to find the one responsible in order to protect Shiki from her own impulses. With the lead he receives from his cousin, police investigator Daisuke Akimi, Mikiya is led into the underbelly of Mifune City, as the salvation of Shiki's soul lies in his determination to prove her innocence once and for all.",https://cdn.myanimelist.net/images/anime/9/56619.jpg,0.7156697454758479,0.7499505746902625
1889,0.7917664051055908,0.0260367151349782,1.6778229137719998,"Mystery, Psychological, Supernatural, Thriller",ひぐらしのなく頃に解,TV,24,"Jul 6, 2007 to Dec 18, 2007","Geneon Universal Entertainment, Frontier Works, Sotsu, Movic",Sentai Filmworks,Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),"In the small village of Hinamizawa, Rika Furude and her friends live together in relative harmony. Beneath this mask of peace, however, lies a hidden darkness, one that Rika understands all too well. In this eternal summer, she has been witness to unspeakable horrors. Every time the clock resets, Rika must try to find the villain behind these senseless deaths before tragedy strikes again. However, trying to decipher a mystery when only half the clues are present proves time and again to be disastrous, and each time she believes that things will change, she inevitably fails. As the annual festival approaches, Rika begins her descent from hope to despair in her struggle to break the chains of fate entangling them all.",https://cdn.myanimelist.net/images/anime/12/14114.jpg,0.5720197367532823,0.7478170714351292
5177,0.7931274771690369,0.0049300650134682,2.543155528067507,"Mystery, Thriller, School",電波的な彼女,OVA,2,"Feb 4, 2009 to Dec 4, 2009",Shueisha,Unknown,Brain's Base,Light novel,42 min. per ep.,R - 17+ (violence & profanity),"Delinquent Juu Juuzawa is a lone wolf who does not see much use in befriending people. So when a girl named Ame Ochibana claims they are linked together from their previous lives, he is highly skeptical and doesn't want anything to do with her. Even stranger is that her fondest wish is to be his servant. Thinking that Ame must be delusional, he tries to distance himself from her. But when a classmate is murdered, Juu instead decides to keep her close, believing the strange girl to be the culprit. However, her intelligence and skill begin to prove invaluable as the two begin working together to solve the murder.

Denpa-teki na Kanojo weaves together a story of love, loss, and devotion, showing that allies can be found in the most unlikely of places.",https://cdn.myanimelist.net/images/anime/1722/111810.jpg,0.5495188264294303,0.7444057470211156
147,0.7100785374641418,0.0005009044543839,2.3010839668677785,"Drama, Romance, Slice of Life",君が望む永遠,TV,14,"Oct 5, 2003 to Jan 4, 2004","Lantis, Media Factory, Age",Funimation,Studio Fantasia,Visual novel,23 min. per ep.,R+ - Mild Nudity,"In the warmth of a golden sun, timid high school student Haruka Suzumiya confesses to Takayuki Narumi, the boy she admires. Takayuki accepts Haruka's confession and the two become a couple, supported by their mutual friends Mitsuki Hayase and Shinji Taira. All is well for these friends—until tragedy strikes. 

One of them is sent to an unenviable fate, lying dormant in a coma. Three years later, they awaken, but their sudden reappearance in everyone's lives threatens to test the limits of these friends' bonds.",https://cdn.myanimelist.net/images/anime/5/10227.jpg,0.8689043125353773,0.741843692478389
2986,0.7158758044242859,0.0002879426756408,2.5689634120233795,"Comedy, School, Seinen, Sports",バンブーブレード,TV,26,"Oct 2, 2007 to Apr 1, 2008","Square Enix, d-rights, Studio Tulip, KlockWorx, flying DOG",Funimation,AIC ASTA,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and willing to join the kendo team?",https://cdn.myanimelist.net/images/anime/1790/114537.jpg,0.8349937796822147,0.7396993994758717
962,0.7952007055282593,0.0019281032728031,3.192682086151562,"Sci-Fi, Slice of Life, Fantasy, Shounen",ARIA The NATURAL,TV,26,"Apr 3, 2006 to Sep 25, 2006","TV Tokyo, Shochiku, Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,24 min. per ep.,G - All Ages,"Akari Mizunashi continues her training to become a Prima Undine (a professional tour guide gondolier) along with her friends Aika and Alice in the peaceful city of Neo Venezia. Despite the fact that these three girls are from competing companies, they are constantly together, learning more about how to become better tour guides and more about the mysteries of Neo Venezia.

As the group continues to meet interesting and unforgettable people through their daily routines, they will also come closer to the secrets that make the enigmatic and ever beautiful city of Neo Venezia so warm and alive.

Welcome back to Neo Venezia: the city where miracles can be created by hand.",https://cdn.myanimelist.net/images/anime/2/77621.jpg,0.5150617203123766,0.7391729084850829
