anime_id,prediction_explicit,prediction_implicit,novelty,genres,name,type,episodes,aired,producers,licensors,studios,source,duration,rating,synopsis,image_url,unknown,score
35120,0.6448630690574646,0.9804375767707824,2.8720135147034744,"Action, Dementia, Demons, Horror, Supernatural",DEVILMAN crybaby,ONA,10,"Jan 5, 2018","Aniplex, Dynamic Planning, Netflix",Unknown,Science SARU,Manga,25 min. per ep.,R+ - Mild Nudity,"Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman.

Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons.

Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones.",https://cdn.myanimelist.net/images/anime/2/89973.jpg,0.0015416720912425283,0.5161987896642202
35608,0.7140414714813232,0.0454150177538394,4.709029575519651,"Comedy, Drama, Romance, School, Slice of Life",映画 中二病でも恋がしたい！-Take On Me-,Movie,1,"Jan 6, 2018","Lantis, Pony Canyon, TBS",Sentai Filmworks,Kyoto Animation,Light novel,1 hr. 33 min.,PG-13 - Teens 13 or older,"Although already a third-year high school student, Rikka Takanashi remains a chuunibyou—a ""disease"" that causes people to fantasize about themselves and their surroundings. Her relationship with Yuuta Togashi has also gone unchanged for the past six months, and with entrance exams right around the corner, both of them strive to enroll at the same college. However, Tooka—Rikka's elder sister—decides to take Rikka to Italy as she has found a stable job there. This unforeseen turn of events causes a commotion between the couple as neither of them want to be separated from each other. Desperate for ideas, they seek assistance from their friends, and after a brief conversation, they come up with a plan—to elope.

Chuunibyou demo Koi ga Shitai! Movie: Take On Me is a sensational drama featuring the couple—Yuuta and Rikka—as they journey across Japan. The two attempt to prevent Rikka from being taken to Italy, but will they be able to succeed in doing so?",https://cdn.myanimelist.net/images/anime/2/89974.jpg,0.1725426836539921,0.6057417139158571
329,0.7289098501205444,0.0391313545405864,2.854469205052565,"Drama, Romance, Sci-Fi, Seinen, Space",プラネテス,TV,26,"Oct 4, 2003 to Apr 17, 2004","Bandai Visual, NHK",Bandai Entertainment,Sunrise,Manga,25 min. per ep.,PG-13 - Teens 13 or older,"In 2075, space travel is no longer just a dream, but an everyday reality for mankind. Advancements in science and technology have led to the colonization of the moon, the commercialization of outer space, and the formation of large space corporations. Ai Tanabe, an upbeat woman whose interests lie in the cosmos, joins Technora Corporation as a member of their Debris Section, a department dedicated to the removal of dangerous space junk between the orbits of the Earth and Moon.

However, Ai soon discovers how unappreciated her job is. As the laughingstock of Technora, the Debris Section is severely understaffed, poorly funded, and is forced to use a dilapidated spaceship nicknamed the ""Toy Box"" for debris retrieval. Undeterred, Ai perseveres and gradually becomes acquainted with the strange personalities that make up the Debris Section's staff, such as the bumbling but good-natured chief clerk Philippe Myers; the mysterious and tight-lipped temp worker Edelgard Rivera; and the hotheaded and passionate Hachirouta Hoshino, who longs for a spaceship to call his own.

Planetes is an unconventional sci-fi series that portrays the vastness of space as a backdrop for the personal lives of ordinary people—people who may have been born on Earth, but whose hopes and dreams lie amongst the stars.",https://cdn.myanimelist.net/images/anime/8/50463.jpg,0.29854998895591006,0.6428378778876176
33929,0.7108248472213745,0.0592858083546161,4.554878895692393,"Action, Comedy, School, Shounen, Super Power",僕のヒーローアカデミア救え!救助訓練!,OVA,1,"Apr 4, 2017",Unknown,Unknown,Bones,Manga,25 min.,PG-13 - Teens 13 or older,"UA High School must regain the public's confidence after the surprise villain attack during class 1-A's training session. Although some of the teachers were gravely injured in the attack, Izuku ""Deku"" Midoriya and his classmates must continue to learn and train, and utilize their quirks in varying environments and circumstances. 

Boku no Hero Academia: Sukue! Kyuujo Kunren! follows class 1-A as they attempt to finally complete their training. However, there's a masked figure roaming around the training center. Have the villains responsible for the previous incident returned to finish the job? If so, are the students ready to fight back?",https://cdn.myanimelist.net/images/anime/1812/111684.jpg,0.16299040507608648,0.6012579587923169
16518,0.644627034664154,0.0036676686722785,3.77075993692672,"Adventure, Fantasy, Shounen",アラタカンガタリ～革神語～,TV,12,"Apr 9, 2013 to Jul 2, 2013","TV Tokyo, Sotsu, Lantis, JM Animation",Unknown,Satelight,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"As a young boy from a noble family in Amawakuni, Arata has always expected to make life his own—until word of the princess growing weak reaches his city. Unbeknown to him, his grandmother had claimed him to be female at birth, and now, with no other girls to succeed the princess from the matriarchal Hime clan, he is next in line for the throne! Disguised as a woman awaiting a replacement to be found, Arata witnesses an assassination attempt on the princess by none other than her own guard, the 12 Shinsho. The crime is pinned on his head, forcing Arata to escape to the Kando forest, where it is said that no one comes out the same.

Meanwhile, in modern-day Japan, Arata Hinohara longs for escape from the cruelty of his classmates. Hearing his name called from an alley, he wanders from his path and unwittingly switches universes with Arata from Amawakuni. With his own power as a newly awakened ""Sho""—a warrior able to wield Hayagami, weapons with the power of the gods—and the help of his companions he meets along his journey, Hinohara sets out to restore order to this new world.",https://cdn.myanimelist.net/images/anime/9/47011.jpg,0.3911767771640656,0.5939369831641363
31710,0.5935635566711426,0.0027382946573197,4.380525508547614,"Action, Sci-Fi, Fantasy",ディバインゲート,TV,12,"Jan 8, 2016 to Mar 25, 2016",Unknown,Funimation,Studio Pierrot,Game,23 min. per ep.,PG-13 - Teens 13 or older,"The legend of the Divine Gate is a story told to young children that depicts the merging of the living world, the heavens, and the underworld. ""Adapters""—people born with unique elemental abilities gifted to them from the union of these worlds—formed the World Council, an organization which controls the chaos of the Gate by portraying its legend as nothing more than a myth. These Adapters train in a special academy owned by the World Council that allows the students to hone their skills.

Aoto, a teenage boy with exceptional water powers and a tragic past, rejects the offer to join the academy numerous times—until he is successfully pressured by the energetic wind user Midori and stubborn fire user Akane. Together, with the World Council and their mysterious leader Arthur, they seek out the Gate in the hopes of uncovering the truth. But in order to reach their goals, they must unite and overcome their own despair while dealing with behind the scene mischief.",https://cdn.myanimelist.net/images/anime/5/77844.jpg,0.3542453391367276,0.5456999131642596
21329,0.7678877115249634,0.0351301245391368,3.574049642680666,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",蟲師 特別篇「日蝕む翳」,Special,1,"Jan 4, 2014","Aniplex, Kodansha, Delfi Sound",Unknown,Artland,Manga,45 min.,PG-13 - Teens 13 or older,"The entire countryside comes to a halt midday to witness a rare solar eclipse that is rumored to allow the average person to see Mushi. Unable to avert their gaze, the air is full of awe and wonder—but those who know the Mushi are preparing for the eclipse's aftermath.

Based on a prediction from Tanyuu Karibusa, the cursed recorder, Mushishi Ginko finds himself in a very unlucky farming village. Immediately following the solar eclipse, a strange black cloud begins to gather in the sky and blocks the sun once more. Suspecting it to be the work of a Mushi known as Hihami, Ginko seeks to liberate the village from perpetual darkness. However, it seems that not all of the villagers are eager to return to the light.",https://cdn.myanimelist.net/images/anime/10/59315.jpg,0.24633060297756101,0.6635762898154829
34055,0.7314682602882385,0.059838056564331,3.6675757006914895,"Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Supernatural",ベルセルク,TV,12,"Apr 7, 2017 to Jun 23, 2017","WOWOW, Mainichi Broadcasting System, Hakusensha, Ultra Super Pictures, LIDENFILMS, NBCUniversal Entertainment Japan, Lucent Pictures Entertainment, Docomo Anime Store, Koei Tecmo Games","Funimation, Crunchyroll","Millepensee, GEMBA",Manga,24 min. per ep.,R - 17+ (violence & profanity),"Demons have now become commonplace around the kingdom of Midland, which has fallen into chaos. The swordsman Guts still cannot stay in one place for long due to his demonic brand. He could always manage to protect himself when he was alone, but now he has the added challenge of protecting former Commander Casca, a shell of her former self who neither remembers nor trusts him. They never have a moment's rest with the constant threat of demons, and they need a place where Casca will be safe till they find a way to heal her. Their elf ally, Puck, tells of the mystical land of Elfhelm, which is supposed to be a safe haven from the demons that ravage the lands. Tired and with only a vague hope, they struggle on to find a place to live—and they still need to find those responsible for the madness they are forced to endure.",https://cdn.myanimelist.net/images/anime/12/85296.jpg,0.2018226278858903,0.6255391338077689
24997,0.6983681321144104,0.0504146963357925,4.19820395175366,"Music, School, Slice of Life",ラブライブ！The School Idol Movie,Movie,1,"Jun 13, 2015","Bandai Visual, Lantis, ASCII Media Works, Bushiroad, Graphinica, ILCA","NIS America, Inc.",Sunrise,Original,1 hr. 42 min.,PG-13 - Teens 13 or older,"Hot on the heels of the third year students' graduation, μ's is invited to New York in hopes of spreading the joy of school idols to other parts of the world. Due to the events of the recent Love Live!, μ's has reached eminent stardom which results in crowds swarming them whenever they appear in public. With the increased attention, however, comes a difficult choice.

Having yet to publicly announce the decision they came to regarding their future, the young members of μ's are pushed to continue performing by rival group A-RISE, Otonokizaka High School, and even Love Live! itself. As leader, Honoka Kousaka is left wondering if the path they have chosen is truly for the best, as μ's must re-evaluate their choices and come to a final decision on what they want for the future.

Love Live! The School Idol Movie depicts the final chapter in μ's story as the girls explore just what being an idol means to them as well as the bond that connects the nine of them together.",https://cdn.myanimelist.net/images/anime/6/75700.jpg,0.18702233618486583,0.5960989729285016
6802,0.6404172778129578,0.0139690693467855,3.0246903549124324,"Military, Sci-Fi, Music, Slice of Life",ソ・ラ・ノ・ヲ・ト,TV,12,"Jan 5, 2010 to Mar 23, 2010","TV Tokyo, Aniplex",Nozomi Entertainment,A-1 Pictures,Original,24 min. per ep.,PG-13 - Teens 13 or older,"On the outskirts of the country of Helvetia rests the tranquil town of Seize. Upon its cobbled streets, citizens go about their daily lives, undisturbed by the increasingly tense military relations between Helvetia and the neighboring Roman Empire.

It is under these circumstances that the 1121st platoon of the Helvetian army, stationed at the Clocktower Fortress in Seize, receives a new recruit in the young and spirited Kanata Sorami. Having joined the military to fulfill her dream of learning to play the bugle, she excitedly accepts the tutelage of the Sergeant Major, Rio Kazumiya, who happens to be a skilled trumpeter. Working alongside them are the aloof mechanic, Noël Kannagi, the feisty gunner, Kureha Suminoya, and the compassionate Captain Felicia Heideman; together, they experience the beauty of life in Seize and the lasting joy of a community that has persevered in spite of the crumbling world around them.",https://cdn.myanimelist.net/images/anime/7/81654.jpg,0.3713659565340786,0.586607013557182
376,0.7594868540763855,0.1633269190788269,2.090012996787838,"Horror, Psychological, Supernatural, Drama, Ecchi, Seinen",エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）,Special,1,"Apr 21, 2005",VAP,ADV Films,Arms,Manga,25 min.,R+ - Mild Nudity,"Having been accepted into the Kaede Inn, Nana struggles to find some way to contribute, though she inadvertently brings more trouble than assistance. However, Nana's worries are directed more towards fellow resident Nyu, whom she had only known as Lucy, the violent Diclonius. Fearful that Nyu will unleash the same horrific savagery—violence that scars Nana to this day—upon those close to her, Nana faces a dilemma: attempt to live peacefully alongside Lucy with all the uncertainty that that entails or dispose of the source of her worries, shattering the relationships she has formed at the inn. As Nana struggles to come to a decision, Nyu recalls a painful memory of one of her dearest friends and one of her greatest rivals.",https://cdn.myanimelist.net/images/anime/1936/121639.jpg,0.22791583337031845,0.6531726499351721
12413,0.769260585308075,0.066528744995594,2.5368063003888484,"Action, Adventure, Seinen",ヨルムンガンド,TV,12,"Apr 11, 2012 to Jun 27, 2012","Geneon Universal Entertainment, Shogakukan-Shueisha Productions",Funimation,White Fox,Manga,24 min. per ep.,R+ - Mild Nudity,"Brought up in a conflict-ridden environment, child soldier Jonathan ""Jonah"" Mar hates weapons and those who deal them. But when Koko Hekmatyar, an international arms dealer, takes on Jonah as one of her bodyguards, he has little choice but to take up arms. Along with Koko's other bodyguards, composed mostly of former special-ops soldiers, Jonah is now tasked with protecting Koko and her overly idealistic goal of world peace from the countless dangers that come from her line of work.

Jormungand follows Koko, Jonah, and the rest of crew as they travel the world selling weapons under the international shipping company HCLI. As Koko's work is illegal under international law, she is forced to constantly sidestep both local and international authorities while doing business with armies, private militaries, and militias. With the CIA always hot on her trail, and assassins around every corner, Jonah and the crew must guard Koko and her dream of world peace with their lives or die trying.",https://cdn.myanimelist.net/images/anime/11/73280.jpg,0.2809071996808361,0.6715899081826272
594,0.7484310269355774,0.5301069617271423,2.898920967623399,"Action, Adventure, Comedy, Shounen, Super Power",滝隠れの死闘　オレが英雄だってばよ!,Special,1,"Dec 20, 2003",Unknown,VIZ Media,Studio Pierrot,Manga,40 min.,PG-13 - Teens 13 or older,"After safely escorting the cowardly Takigakure leader Shibuki to his homeland, Naruto Uzumaki, Sasuke Uchiha, and Sakura Haruno are taken aback by the village's sudden invasion of rogue ninjas. As their teacher Kakashi Hatake had departed for Konohagakure beforehand, the team is left to deal with the attacking forces on their own. 

While the group prepares for a rescue operation, they learn that Suien, the mastermind behind the assault, is pursuing the Hero Water—an elixir that briefly increases the chakra of those who drink it by tenfold. Knowing that the liquid is in Shibuki's possession, Suien takes the villagers hostage to use them as a bargaining chip. 

Despite the odds stacked against them, Naruto fights the enemy heroically, spurring Shibuki on to discover the courage to protect his people.",https://cdn.myanimelist.net/images/anime/11/20921.jpg,0.0573537894050107,0.6102155794294641
8676,0.7399502992630005,0.0033645138610154,2.0819484369511074,"Slice of Life, Comedy, Romance, School",アマガミSS,TV,25,"Jul 2, 2010 to Dec 24, 2010","Pony Canyon, TBS, Movic",Sentai Filmworks,AIC,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,"Two years ago, Junichi Tachibana had a date on Christmas Eve but was stood up instead. Since then, he has had a hard time showing others his true feelings in fear of being rejected again. However, as luck would have it, Junichi may have a second chance at love when he meets several girls whom he becomes romantically interested in: Haruka Morishima, the energetic and popular upperclassman with a love for cute things; Kaoru Tanamachi, his childhood friend who harbors secret feelings for him; Sae Nakata, the timid transfer student who is shy around men; Ai Nanasaki, a girl on the swim team who has a bad first impression of Junichi; Rihoko Sakurai, a childhood friend with a love for sweets; and Tsukasa Ayatsuji, a seemingly perfect class representative who has a hidden dark side. As Christmas Eve approaches, Junichi can only hope that this will be the year he will finally spend the holidays with the one he truly loves.",https://cdn.myanimelist.net/images/anime/10/78699.jpg,0.719611585147217,0.7358825564398439
18247,0.6719755530357361,0.0025627654977142,3.1450540371623075,"Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha",IS〈インフィニット・ストラトス〉2,TV,12,"Oct 4, 2013 to Dec 20, 2013","Lantis, TBS, Sony Music Communications, Overlap",Sentai Filmworks,8bit,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,Second season of Infinite Stratos.,https://cdn.myanimelist.net/images/anime/12/49359.jpg,0.49905313445749744,0.6373910693200884
934,0.7263662219047546,0.2307134717702865,1.2768360934885312,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",ひぐらしのなく頃に,TV,26,"Apr 5, 2006 to Sep 27, 2006","Geneon Universal Entertainment, Frontier Works, Sotsu, DAX Production","Sentai Filmworks, Geneon Entertainment USA",Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),"Keiichi Maebara has just moved to the quiet little village of Hinamizawa in the summer of 1983, and quickly becomes inseparable friends with schoolmates Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude. However, darkness lurks underneath the seemingly idyllic life they lead. 

As the village prepares for its annual festival, Keiichi learns about the local legends surrounding it. To his horror, he discovers that there have been several murders and disappearances in the village in the recent years, and that they all seem to be connected to the festival and the village's patron god, Oyashiro. Keiichi tries to ask his new friends about these incidents, but they are suspiciously silent and refuse to give him the answers he needs. As more and more bizarre events occur, he wonders just what else his friends might be keeping from him, and if he can even trust them at all.

When madness and paranoia begin taking root in Keiichi's heart, he will stumble straight into the mysteries at work in Higurashi no Naku Koro ni, a story that is told across multiple arcs.",https://cdn.myanimelist.net/images/anime/12/19634.jpg,0.30203741604429035,0.6415004607326618
17549,0.7137109637260437,0.0448010303080081,3.180560725619217,"Comedy, School, Seinen, Slice of Life",のんのんびより,TV,12,"Oct 8, 2013 to Dec 24, 2013","TV Tokyo, Lantis, Media Factory, Kadokawa Shoten, AT-X, Sony Music Communications",Sentai Filmworks,SILVER LINK.,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Hotaru Ichijou's lifestyle completely changes when she leaves Tokyo and moves with her family to the isolated Asahigaoka village. Her new school has only five students including herself, all sharing a single classroom regardless of grade level. There are no convenience stores in the area, and it can take up to two hours for a bus to arrive.

Nevertheless, Hotaru finds herself captivated by the countryside's charm thanks to her four unique schoolmates with whom she quickly forms a genuine bond. The most colorful of them is Renge Miyauchi, a first-grader who is often perceptive despite her age. However, no less intriguing are the three Koshigaya siblings: the quiet oldest brother Suguru, the petite older sister Komari, and the prankish youngest sister Natsumi.

Having someone from the city join their cheerful little group enlivens the ordinary days in Asahigaoka. Not only does Hotaru bring firsthand knowledge from the alluring outside world, but her fresh outlook on life welcomes a blossom of change to their usual routine.",https://cdn.myanimelist.net/images/anime/2/51581.jpg,0.2567163702052529,0.6223120450218855
9969,0.8090037703514099,0.4832567274570465,2.549545326166278,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",銀魂',TV,51,"Apr 4, 2011 to Mar 26, 2012","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Unknown,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.",https://cdn.myanimelist.net/images/anime/4/50361.jpg,0.07480220495977434,0.6621634572730828
36817,0.6182842254638672,0.0006680201622657,5.519959791735979,"Comedy, Slice of Life",すのはら荘の管理人さん,TV,12,"Jul 5, 2018 to Sep 20, 2018","Sotsu, flying DOG, Ichijinsha",Unknown,SILVER LINK.,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,"Shiina Aki is constantly being treated like a girl due to his feminine looks so he decides to move to Tokyo to attend middle school in an attempt to change himself.

However, what awaits him in his new home, Sunohara-sou, is the kind-hearted caretaker, Sunohara Ayaka. Along with the three female members of Aki's new middle school's student council, Yukimoto Yuzu, Yamanashi Sumire, and Kazami Yuri.

And so begins Aki's new life in Tokyo living with four girls.",https://cdn.myanimelist.net/images/anime/1539/124746.jpg,0.34833260968344565,0.5642939023077829
530,0.6853920817375183,0.1688192784786224,1.9023078469104109,"Demons, Magic, Romance, Shoujo",美少女戦士セーラームーン,TV,46,"Mar 7, 1992 to Feb 27, 1993",TV Asahi,"ADV Films, VIZ Media, DiC Entertainment",Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"Usagi Tsukino is an average student and crybaby klutz who constantly scores low on her tests. Unexpectedly, her humdrum life is turned upside down when she saves a cat with a crescent moon on its head from danger. The cat, named Luna, later reveals that their meeting was not an accident: Usagi is destined to become Sailor Moon, a planetary guardian with the power to protect the Earth. Given a special brooch that allows her to transform, she must use her new powers to save the city from evil energy-stealing monsters sent by the malevolent Queen Beryl of the Dark Kingdom.

But getting accustomed to her powers and fighting villains are not the only things she has to worry about. She must find the lost princess of the Moon Kingdom, the other Sailor Guardians, and the Legendary Silver Crystal in order to save the planet from destruction.",https://cdn.myanimelist.net/images/anime/1440/92258.jpg,0.24585524674149392,0.5974847147383134
32494,0.6875382661819458,0.1425942629575729,3.935839687286169,"Sports, School, Shounen",DAYS,TV,24,"Jul 2, 2016 to Dec 18, 2016","Dentsu, Animax, Mainichi Broadcasting System, Pony Canyon, Kodansha, Tokyo MX, Lawson HMV Entertainment, BS11, Animatic, Techno Sound",Ponycan USA,MAPPA,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"The series is about two boys named Tsukushi and Jin. Tsukushi is a boy with no special talent or traits while Jin is considered a soccer genius. On one stormy night, Jin meets Tsukushi, and they get dragged into the world of soccer.

(Source: MAL News)",https://cdn.myanimelist.net/images/anime/11/88507.jpg,0.1299798033047698,0.5760265736065107
20031,0.6596003770828247,0.009189985692501,2.686746447679764,"Game, Comedy, School, Seinen",ディーふらぐ！,TV,12,"Jan 7, 2014 to Mar 25, 2014","TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, DAX Production, Sony Music Communications, Toranoana",Funimation,Brain's Base,Manga,24 min. per ep.,PG-13 - Teens 13 or older,"The Kazama Family—a gang of three wannabe delinquents and close friends, spearheaded by Kenji Kazama, is trying to make a name for themselves at Fujou Academy. On the first day of the term, the gang finds themselves putting out a fire in the Game Development Club. Instead of thanking them, the eccentric club members attack and knock out Kenji's two friends, forcing Kenji to fight for his life. Failing to escape, the gang leader is coerced into joining the Game Development Club.

As he settles in, Kenji gets to know the four girls responsible for his provisional membership—student council president and general tyrant Chitose Karasuyama, spirited tomboy Sakura Mizukami, negligent club advisor Minami Oosawa, and the school's infamous shadow leader Roka Shibasaki. Throughout the Game Development Club's constant shenanigans and his desperate attempts to leave the club, Kenji begins to realize that he may be actually enjoying himself.",https://cdn.myanimelist.net/images/anime/1662/112108.jpg,0.45912990089298317,0.6195062818448565
22789,0.7879825830459595,0.6773271560668945,2.1526639617495054,"Comedy, Slice of Life",ばらかもん,TV,12,"Jul 6, 2014 to Sep 28, 2014","VAP, Nippon Television Network",Funimation,Kinema Citrus,Web manga,22 min. per ep.,PG-13 - Teens 13 or older,"Seishuu Handa is an up-and-coming calligrapher: young, handsome, talented, and unfortunately, a narcissist to boot. When a veteran labels his award-winning piece as ""unoriginal,"" Seishuu quickly loses his cool with severe repercussions.

As punishment, and also in order to aid him in self-reflection, Seishuu's father exiles him to the Goto Islands, far from the comfortable Tokyo lifestyle the temperamental artist is used to. Now thrown into a rural setting, Seishuu must attempt to find new inspiration and develop his own unique art style—that is, if boisterous children (headed by the frisky Naru Kotoishi), fujoshi middle schoolers, and energetic old men stop barging into his house! The newest addition to the intimate and quirky Goto community only wants to get some work done, but the islands are far from the peaceful countryside he signed up for. Thanks to his wacky neighbors who are entirely incapable of minding their own business, the arrogant calligrapher learns so much more than he ever hoped to.",https://cdn.myanimelist.net/images/anime/1426/111248.jpg,0.047365567503354584,0.6398591799374386
323,0.5748092532157898,0.2640688121318817,2.2381091677063902,"Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller",妄想代理人,TV,13,"Feb 3, 2004 to May 18, 2004","WOWOW, Asmik Ace, Tohokushinsha Film Corporation","Funimation, Geneon Entertainment USA",Madhouse,Original,24 min. per ep.,R+ - Mild Nudity,"The infamous Shounen Bat (Lil' Slugger) is terrorizing the residents of Musashino City. Flying around on his rollerblades and beating people down with a golden baseball bat, the assailant seems impossible to catch—much less understand. His first victim, the well-known yet timid character designer Tsukiko Sagi, is suspected of orchestrating the attacks. Believed only by her anthropomorphic pink stuffed animal, Maromi, Tsukiko is just one of Shounen Bat's many victims.

As Shounen Bat continues his relentless assault on the town, detectives Keiichi Ikari and Mitsuhiro Maniwa begin to investigate the identity of the attacker. However, more and more people fall victim to the notorious golden bat, and news of the assailant begins circulating around the town. Paranoia starts to set in as chilling rumors spread amongst adults and children alike.

Will the two detectives be able to unravel the truth behind Shounen Bat, or will the paranoia get to them first?",https://cdn.myanimelist.net/images/anime/7/10240.jpg,0.15631671660677302,0.49111074589398646
