anime_id,name,episodes,aired,image_url,genres,type
55,STEINS GATE,24,"Apr 6, 2011 to Sep 14, 2011",https://cdn.myanimelist.net/images/anime/1935/127974.jpg,"Thriller, Sci-Fi",TV
20,鋼の錬金術師 FULLMETAL ALCHEMIST,64,"Apr 5, 2009 to Jul 4, 2010",https://cdn.myanimelist.net/images/anime/1208/94745.jpg,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV
252,君の名は。,1,"Aug 26, 2016",https://cdn.myanimelist.net/images/anime/5/87048.jpg,"Romance, Supernatural, School, Drama",Movie
356,コードギアス 反逆のルルーシュ 続編,25,"Apr 6, 2008 to Sep 28, 2008",https://cdn.myanimelist.net/images/anime/1088/135089.jpg,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV
1536,銀魂',51,"Apr 4, 2011 to Mar 26, 2012",https://cdn.myanimelist.net/images/anime/4/50361.jpg,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV
1519,銀魂°,51,"Apr 8, 2015 to Mar 30, 2016",https://cdn.myanimelist.net/images/anime/3/72078.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
188,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,24,"Oct 3, 2008 to Mar 27, 2009",https://cdn.myanimelist.net/images/anime/1299/110774.jpg,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV
570,ARIA The ORIGINATION,13,"Jan 8, 2008 to Apr 1, 2008",https://cdn.myanimelist.net/images/anime/1394/129606.jpg,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV
1540,夏目友人帳 陸,11,"Apr 12, 2017 to Jun 21, 2017",https://cdn.myanimelist.net/images/anime/6/84416.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
1537,銀魂' 延長戦,13,"Oct 4, 2012 to Mar 28, 2013",https://cdn.myanimelist.net/images/anime/1452/123686.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
823,進撃の巨人 Season3 Part.2,10,"Apr 29, 2019 to Jul 1, 2019",https://cdn.myanimelist.net/images/anime/1517/100633.jpg,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV
674,銀河英雄伝説,110,"Jan 8, 1988 to Mar 17, 1997",https://cdn.myanimelist.net/images/anime/13/13225.jpg,"Military, Sci-Fi, Space, Drama",OVA
406,進撃の巨人,25,"Apr 7, 2013 to Sep 29, 2013",https://cdn.myanimelist.net/images/anime/10/47347.jpg,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV
11,デスノート,37,"Oct 4, 2006 to Jun 27, 2007",https://cdn.myanimelist.net/images/anime/9/9453.jpg,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV
59,天元突破グレンラガン,27,"Apr 1, 2007 to Sep 30, 2007",https://cdn.myanimelist.net/images/anime/4/5123.jpg,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV
22,グレート・ティーチャー・オニヅカ,43,"Jun 30, 1999 to Sep 17, 2000",https://cdn.myanimelist.net/images/anime/13/11460.jpg,"Slice of Life, Comedy, Drama, School, Shounen",TV
1016,四月は君の嘘,22,"Oct 10, 2014 to Mar 20, 2015",https://cdn.myanimelist.net/images/anime/3/67177.jpg,"Drama, Music, Romance, School, Shounen",TV
41,蟲師 続章,10,"Apr 5, 2014 to Jun 21, 2014",https://cdn.myanimelist.net/images/anime/13/58533.jpg,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV
172,あの日見た花の名前を僕達はまだ知らない。,11,"Apr 15, 2011 to Jun 24, 2011",https://cdn.myanimelist.net/images/anime/5/79697.jpg,"Slice of Life, Supernatural, Drama",TV
1538,銀魂。,12,"Jan 9, 2017 to Mar 27, 2017",https://cdn.myanimelist.net/images/anime/3/83528.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
56,涼宮ハルヒの消失,1,"Feb 6, 2010",https://cdn.myanimelist.net/images/anime/1248/112352.jpg,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie
6,バクマン。,25,"Oct 6, 2012 to Mar 30, 2013",https://cdn.myanimelist.net/images/anime/6/41845.jpg,"Comedy, Drama, Romance, Shounen",TV
1210,昭和元禄落語心中～助六再び篇～,12,"Jan 7, 2017 to Mar 25, 2017",https://cdn.myanimelist.net/images/anime/1493/124765.jpg,"Drama, Historical, Josei",TV
274,蟲師 続章,10,"Oct 19, 2014 to Dec 21, 2014",https://cdn.myanimelist.net/images/anime/9/68095.jpg,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV
1567,劇場版 銀魂 新訳紅桜篇,1,"Apr 24, 2010",https://cdn.myanimelist.net/images/anime/4/28803.jpg,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie
280,夏目友人帳 肆,13,"Jan 3, 2012 to Mar 27, 2012",https://cdn.myanimelist.net/images/anime/3/37449.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
1561,夏目友人帳 伍,11,"Oct 5, 2016 to Dec 21, 2016",https://cdn.myanimelist.net/images/anime/11/81755.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
1535,劇場版 銀魂 完結篇 万事屋よ永遠なれ,1,"Jul 6, 2013",https://cdn.myanimelist.net/images/anime/10/51723.jpg,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie
477,ワンパンマン,12,"Oct 5, 2015 to Dec 21, 2015",https://cdn.myanimelist.net/images/anime/12/76049.jpg,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV
