anime_id,name,episodes,aired,image_url,genres,type
280,夏目友人帳 肆,13,"Jan 3, 2012 to Mar 27, 2012",https://cdn.myanimelist.net/images/anime/3/37449.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
1049,純情ロマンチカ2(に),12,"Oct 12, 2008 to Dec 28, 2008",https://cdn.myanimelist.net/images/anime/6/38417.jpg,"Comedy, Drama, Romance, Shounen Ai",TV
347,続 夏目友人帳,13,"Jan 6, 2009 to Mar 31, 2009",https://cdn.myanimelist.net/images/anime/4/79738.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
569,会長はメイド様!,26,"Apr 2, 2010 to Sep 24, 2010",https://cdn.myanimelist.net/images/anime/6/25254.jpg,"Comedy, Romance, School, Shoujo",TV
1044,純情ロマンチカ,12,"Apr 11, 2008 to Jun 27, 2008",https://cdn.myanimelist.net/images/anime/7/8811.jpg,"Comedy, Drama, Romance, Shounen Ai",TV
570,ARIA The ORIGINATION,13,"Jan 8, 2008 to Apr 1, 2008",https://cdn.myanimelist.net/images/anime/1394/129606.jpg,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV
518,劇場版 カードキャプターさくら 封印されたカード,1,"Jul 15, 2000",https://cdn.myanimelist.net/images/anime/1652/90326.jpg,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie
278,夏目友人帳,13,"Jul 8, 2008 to Sep 30, 2008",https://cdn.myanimelist.net/images/anime/1681/108439.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
243,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,1,"Aug 16, 2008",https://cdn.myanimelist.net/images/anime/1574/112838.jpg,"Action, Mystery, Supernatural, Drama, Romance, Thriller",Movie
1537,銀魂' 延長戦,13,"Oct 4, 2012 to Mar 28, 2013",https://cdn.myanimelist.net/images/anime/1452/123686.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
1133,神様はじめました,13,"Oct 2, 2012 to Dec 25, 2012",https://cdn.myanimelist.net/images/anime/3/85429.jpg,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",TV
1540,夏目友人帳 陸,11,"Apr 12, 2017 to Jun 21, 2017",https://cdn.myanimelist.net/images/anime/6/84416.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
1536,銀魂',51,"Apr 4, 2011 to Mar 26, 2012",https://cdn.myanimelist.net/images/anime/4/50361.jpg,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV
1002,スキップ・ビート！,25,"Oct 6, 2008 to Mar 30, 2009",https://cdn.myanimelist.net/images/anime/11/84022.jpg,"Comedy, Drama, Romance, Shoujo",TV
420,ヤマトナデシコ七変化♥,25,"Oct 4, 2006 to Mar 28, 2007",https://cdn.myanimelist.net/images/anime/11/7701.jpg,"Comedy, Shoujo",TV
757,美少女戦士セーラームーン セーラースターズ,34,"Mar 9, 1996 to Feb 8, 1997",https://cdn.myanimelist.net/images/anime/1645/105992.jpg,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo",TV
755,美少女戦士セーラームーン S,38,"Mar 19, 1994 to Feb 25, 1995",https://cdn.myanimelist.net/images/anime/1077/92346.jpg,"Drama, Magic, Romance, Shoujo",TV
1046,ヘタリア Ｗorld Series,48,"Mar 26, 2010 to Mar 11, 2011",https://cdn.myanimelist.net/images/anime/9/75792.jpg,"Comedy, Historical, Parody",ONA
231,地獄少女 二籠,26,"Oct 7, 2006 to Apr 7, 2007",https://cdn.myanimelist.net/images/anime/5/86975.jpg,"Mystery, Horror, Psychological, Supernatural",TV
218,ゴーストハント,25,"Oct 4, 2006 to Mar 28, 2007",https://cdn.myanimelist.net/images/anime/11/73908.jpg,"Mystery, Comedy, Horror, Supernatural, Shoujo",TV
221,ハチミツとクローバー II,12,"Jun 30, 2006 to Sep 15, 2006",https://cdn.myanimelist.net/images/anime/6/11040.jpg,"Drama, Josei, Romance, Slice of Life",TV
279,夏目友人帳 参,13,"Jul 5, 2011 to Sep 27, 2011",https://cdn.myanimelist.net/images/anime/8/82394.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
602,君に届け,25,"Oct 7, 2009 to Mar 31, 2010",https://cdn.myanimelist.net/images/anime/1502/124384.jpg,"Slice of Life, Drama, Romance, School, Shoujo",TV
1567,劇場版 銀魂 新訳紅桜篇,1,"Apr 24, 2010",https://cdn.myanimelist.net/images/anime/4/28803.jpg,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie
1519,銀魂°,51,"Apr 8, 2015 to Mar 30, 2016",https://cdn.myanimelist.net/images/anime/3/72078.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
997,君に届け 2ND SEASON,12,"Jan 12, 2011 to Mar 30, 2011",https://cdn.myanimelist.net/images/anime/1311/121574.jpg,"Slice of Life, Drama, Romance, School, Shoujo",TV
1561,夏目友人帳 伍,11,"Oct 5, 2016 to Dec 21, 2016",https://cdn.myanimelist.net/images/anime/11/81755.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
955,金色のコルダ ～primo passo～,25,"Oct 2, 2006 to Mar 26, 2007",https://cdn.myanimelist.net/images/anime/9/7228.jpg,"Harem, Music, Comedy, Drama, Magic, Romance, School, Shoujo",TV
573,神のみぞ知るセカイ II,12,"Apr 12, 2011 to Jun 28, 2011",https://cdn.myanimelist.net/images/anime/11/30030.jpg,"Comedy, Harem, Romance, Shounen, Supernatural",TV
754,美少女戦士セーラームーン R,43,"Mar 6, 1993 to Mar 12, 1994",https://cdn.myanimelist.net/images/anime/1/740.jpg,"Demons, Magic, Romance, Shoujo",TV
5,バクマン。2ndシーズン,25,"Oct 1, 2011 to Mar 24, 2012",https://cdn.myanimelist.net/images/anime/3/34923.jpg,"Comedy, Drama, Romance, Shounen",TV
1620,リトルバスターズ！～Refrain～,13,"Oct 5, 2013 to Dec 28, 2013",https://cdn.myanimelist.net/images/anime/10/55049.jpg,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",TV
186,クロノクルセイド,24,"Nov 25, 2003 to Jun 10, 2004",https://cdn.myanimelist.net/images/anime/13/14141.jpg,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV
242,劇場版 空の境界 the Garden of sinners 第四章『伽藍の洞』,1,"May 24, 2008",https://cdn.myanimelist.net/images/anime/9/21736.jpg,"Action, Mystery, Supernatural, Thriller",Movie
1419,これはゾンビですか?,12,"Jan 11, 2011 to Mar 30, 2011",https://cdn.myanimelist.net/images/anime/13/75521.jpg,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV
1281,クロスゲーム,50,"Apr 5, 2009 to Mar 28, 2010",https://cdn.myanimelist.net/images/anime/6/22103.jpg,"Comedy, Drama, Romance, School, Shounen, Sports",TV
245,劇場版 空の境界 the Garden of sinners 第七章『殺人考察（後）』,1,"Aug 8, 2009",https://cdn.myanimelist.net/images/anime/9/56619.jpg,"Action, Mystery, Supernatural, Romance, Thriller",Movie
