anime_id,name,episodes,aired,image_url,genres,type
1834,くま クマ 熊 ベアー,12,"Oct 7, 2020 to Dec 23, 2020",https://cdn.myanimelist.net/images/anime/1413/110712.jpg,"Adventure, Comedy, Fantasy",TV
629,好きっていいなよ。,13,"Oct 7, 2012 to Dec 30, 2012",https://cdn.myanimelist.net/images/anime/11/39777.jpg,"Drama, Romance, School, Shoujo",TV
377,シゴフミ,12,"Jan 6, 2008 to Mar 23, 2008",https://cdn.myanimelist.net/images/anime/4/50787.jpg,"Drama, Fantasy, Psychological, Supernatural, Thriller",TV
1574,ISLAND,12,"Jul 1, 2018 to Sep 16, 2018",https://cdn.myanimelist.net/images/anime/1951/95080.jpg,"Drama, Sci-Fi",TV
1539,銀魂。ポロリ編,13,"Oct 2, 2017 to Dec 25, 2017",https://cdn.myanimelist.net/images/anime/11/88325.jpg,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV
480,パンティ＆ストッキングwithガーターベルト,13,"Oct 2, 2010 to Dec 25, 2010",https://cdn.myanimelist.net/images/anime/12/73643.jpg,"Action, Comedy, Parody, Supernatural, Ecchi",TV
647,デジモンアドベンチャーtri.（トライ）第３章「告白」,1,"Sep 24, 2016",https://cdn.myanimelist.net/images/anime/4/82612.jpg,"Action, Adventure, Comedy, Drama",Movie
1189,Occultic Nine －オカルティック・ナイン－,12,"Oct 9, 2016 to Dec 25, 2016",https://cdn.myanimelist.net/images/anime/8/81186.jpg,"Sci-Fi, Mystery",TV
724,亜人 第2クール,13,"Oct 8, 2016 to Dec 24, 2016",https://cdn.myanimelist.net/images/anime/12/81858.jpg,"Action, Horror, Mystery, Seinen, Supernatural",TV
1554,みつどもえ,13,"Jul 3, 2010 to Sep 26, 2010",https://cdn.myanimelist.net/images/anime/12/53947.jpg,"Comedy, School, Slice of Life",TV
1657,ハイスクールD×D NEW OVA おっぱい、包みます！,1,"Mar 10, 2015",https://cdn.myanimelist.net/images/anime/8/73605.jpg,"Comedy, Demons, Ecchi, Romance, School",OVA
