anime_id,name,episodes,aired,image_url,genres,type
570,ARIA The ORIGINATION,13,"Jan 8, 2008 to Apr 1, 2008",https://cdn.myanimelist.net/images/anime/1394/129606.jpg,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV
506,ARIA The NATURAL,26,"Apr 3, 2006 to Sep 25, 2006",https://cdn.myanimelist.net/images/anime/2/77621.jpg,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV
122,精霊の守り人,26,"Apr 7, 2007 to Sep 29, 2007",https://cdn.myanimelist.net/images/anime/4/50337.jpg,"Action, Adventure, Historical, Fantasy",TV
221,ハチミツとクローバー II,12,"Jun 30, 2006 to Sep 15, 2006",https://cdn.myanimelist.net/images/anime/6/11040.jpg,"Drama, Josei, Romance, Slice of Life",TV
674,銀河英雄伝説,110,"Jan 8, 1988 to Mar 17, 1997",https://cdn.myanimelist.net/images/anime/13/13225.jpg,"Military, Sci-Fi, Space, Drama",OVA
243,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,1,"Aug 16, 2008",https://cdn.myanimelist.net/images/anime/1574/112838.jpg,"Action, Mystery, Supernatural, Drama, Romance, Thriller",Movie
459,はじめの一歩 新シリーズ,26,"Jan 7, 2009 to Jul 1, 2009",https://cdn.myanimelist.net/images/anime/8/56617.jpg,"Comedy, Sports, Drama, Shounen",TV
458,はじめの一歩 THE FIGHTING!,75,"Oct 4, 2000 to Mar 27, 2002",https://cdn.myanimelist.net/images/anime/4/86334.jpg,"Comedy, Sports, Drama, Shounen",TV
234,十二国記,45,"Apr 9, 2002 to Aug 30, 2003",https://cdn.myanimelist.net/images/anime/6/50859.jpg,"Action, Adventure, Fantasy, Magic, Supernatural",TV
685,カイバ,12,"Apr 11, 2008 to Jul 25, 2008",https://cdn.myanimelist.net/images/anime/7/13193.jpg,"Adventure, Mystery, Romance, Sci-Fi",TV
41,蟲師 続章,10,"Apr 5, 2014 to Jun 21, 2014",https://cdn.myanimelist.net/images/anime/13/58533.jpg,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV
357,電脳コイル,26,"May 12, 2007 to Dec 1, 2007",https://cdn.myanimelist.net/images/anime/5/12844.jpg,"Adventure, Comedy, Drama, Mystery, Sci-Fi",TV
36,攻殻機動隊 S.A.C. 2nd GIG,26,"Jan 1, 2004 to Jan 8, 2005",https://cdn.myanimelist.net/images/anime/1646/135390.jpg,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",TV
1540,夏目友人帳 陸,11,"Apr 12, 2017 to Jun 21, 2017",https://cdn.myanimelist.net/images/anime/6/84416.jpg,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV
323,ガングレイヴ,26,"Oct 7, 2003 to Mar 30, 2004",https://cdn.myanimelist.net/images/anime/11/75724.jpg,"Action, Drama, Sci-Fi, Seinen, Super Power",TV
1281,クロスゲーム,50,"Apr 5, 2009 to Mar 28, 2010",https://cdn.myanimelist.net/images/anime/6/22103.jpg,"Comedy, Drama, Romance, School, Shounen, Sports",TV
251,獣の奏者エリン,50,"Jan 10, 2009 to Dec 26, 2009",https://cdn.myanimelist.net/images/anime/9/19845.jpg,"Drama, Fantasy, Slice of Life",TV
217,巌窟王,24,"Oct 6, 2004 to Mar 30, 2005",https://cdn.myanimelist.net/images/anime/10/2235.jpg,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV
