anime_id,name,episodes,aired,image_url,genres,type
276,劇場版　NARUTO　大活劇！雪姫忍法帖だってばよ!!,1,"Aug 21, 2004",https://cdn.myanimelist.net/images/anime/1231/134484.jpg,"Adventure, Comedy, Historical, Supernatural, Drama, Shounen",Movie
1191,オレん家のフロ事情,13,"Oct 6, 2014 to Dec 29, 2014",https://cdn.myanimelist.net/images/anime/12/67085.jpg,"Comedy, Fantasy, Josei",TV
1849,この世の果てで恋を唄う少女YU-NO,26,"Apr 2, 2019 to Oct 1, 2019",https://cdn.myanimelist.net/images/anime/1009/100450.jpg,"Sci-Fi, Drama",TV
1470,結城友奈は勇者である,12,"Oct 17, 2014 to Dec 26, 2014",https://cdn.myanimelist.net/images/anime/8/77057.jpg,"Slice of Life, Psychological, Drama, Magic, Fantasy",TV
1291,アグレッシブ烈子第2期,10,"Jun 14, 2019",https://cdn.myanimelist.net/images/anime/1739/101117.jpg,"Comedy, Slice of Life",ONA
1318,冴えない彼女〈ヒロイン〉の育てかた,12,"Jan 16, 2015 to Mar 27, 2015",https://cdn.myanimelist.net/images/anime/7/68783.jpg,"Harem, Comedy, Romance, Ecchi, School",TV
1432,お兄ちゃんだけど愛さえあれば関係ないよねっ,12,"Oct 5, 2012 to Dec 21, 2012",https://cdn.myanimelist.net/images/anime/6/42111.jpg,"Comedy, Ecchi, Harem, Romance, School",TV
1652,クロムクロ,26,"Apr 7, 2016 to Sep 29, 2016",https://cdn.myanimelist.net/images/anime/12/82281.jpg,"Action, Sci-Fi, Mecha",TV
551,ハイスクールD×D OVA,2,"Sep 6, 2012 to May 31, 2013",https://cdn.myanimelist.net/images/anime/13/63561.jpg,"Comedy, Demons, Ecchi, Romance, School",OVA
990,絶園のテンペスト,24,"Oct 5, 2012 to Mar 29, 2013",https://cdn.myanimelist.net/images/anime/7/42453.jpg,"Action, Mystery, Psychological, Drama, Magic, Fantasy, Shounen",TV
823,進撃の巨人 Season3 Part.2,10,"Apr 29, 2019 to Jul 1, 2019",https://cdn.myanimelist.net/images/anime/1517/100633.jpg,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV
382,鉄腕バーディー (2008),13,"Jul 5, 2008 to Sep 27, 2008",https://cdn.myanimelist.net/images/anime/1242/95178.jpg,"Action, Sci-Fi, Comedy",TV
306,ゼロの使い魔,13,"Jul 3, 2006 to Sep 25, 2006",https://cdn.myanimelist.net/images/anime/8/20680.jpg,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV
966,傷物語〈Ⅲ冷血篇〉,1,"Jan 6, 2017",https://cdn.myanimelist.net/images/anime/1084/112813.jpg,"Action, Mystery, Supernatural, Vampire",Movie
258,紅,12,"Apr 4, 2008 to Jun 20, 2008",https://cdn.myanimelist.net/images/anime/2/8482.jpg,"Comedy, Drama, Martial Arts",TV
1566,ドラマティカル マーダー,12,"Jul 7, 2014 to Sep 22, 2014",https://cdn.myanimelist.net/images/anime/6/75642.jpg,"Action, Sci-Fi, Super Power, Psychological",TV
539,プラネテス,26,"Oct 4, 2003 to Apr 17, 2004",https://cdn.myanimelist.net/images/anime/8/50463.jpg,"Drama, Romance, Sci-Fi, Seinen, Space",TV
132,吸血鬼〈バンパイア〉ハンターD,1,"Dec 21, 1985",https://cdn.myanimelist.net/images/anime/4/24228.jpg,"Action, Sci-Fi, Horror, Supernatural, Vampire",Movie
1358,Re:ゼロから始める異世界生活 Memory Snow,1,"Oct 6, 2018",https://cdn.myanimelist.net/images/anime/1081/95707.jpg,"Drama, Fantasy",Movie
1771,世話やきキツネの仙狐さん,12,"Apr 10, 2019 to Jun 26, 2019",https://cdn.myanimelist.net/images/anime/1814/99677.jpg,"Slice of Life, Comedy, Supernatural, Romance",TV
1765,劇場版 魔法科高校の劣等生 星を呼ぶ少女,1,"Jun 17, 2017",https://cdn.myanimelist.net/images/anime/8/85524.jpg,"Action, Sci-Fi, Supernatural, Magic",Movie
475,ノラガミ ARAGOTO,13,"Oct 3, 2015 to Dec 26, 2015",https://cdn.myanimelist.net/images/anime/1689/94850.jpg,"Action, Adventure, Comedy, Supernatural, Shounen",TV
825,ベルセルク,12,"Jul 1, 2016 to Sep 16, 2016",https://cdn.myanimelist.net/images/anime/10/79352.jpg,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV
1213,TERRA FORMARS [テラフォーマーズ],13,"Sep 27, 2014 to Dec 20, 2014",https://cdn.myanimelist.net/images/anime/2/67117.jpg,"Action, Sci-Fi, Space, Horror, Drama, Seinen",TV
1180,灵契,20,"Jun 21, 2016 to Nov 1, 2016",https://cdn.myanimelist.net/images/anime/9/81045.jpg,"Action, Comedy, Magic, Shounen Ai, Supernatural",ONA
480,パンティ＆ストッキングwithガーターベルト,13,"Oct 2, 2010 to Dec 25, 2010",https://cdn.myanimelist.net/images/anime/12/73643.jpg,"Action, Comedy, Parody, Supernatural, Ecchi",TV
106,君が望む永遠,14,"Oct 5, 2003 to Jan 4, 2004",https://cdn.myanimelist.net/images/anime/5/10227.jpg,"Drama, Romance, Slice of Life",TV
1657,ハイスクールD×D NEW OVA おっぱい、包みます！,1,"Mar 10, 2015",https://cdn.myanimelist.net/images/anime/8/73605.jpg,"Comedy, Demons, Ecchi, Romance, School",OVA
1553,映像研には手を出すな!,12,"Jan 6, 2020 to Mar 23, 2020",https://cdn.myanimelist.net/images/anime/1680/110451.jpg,"Adventure, Comedy, School, Seinen",TV
558,ああっ女神さまっ,24,"Jan 7, 2005 to Jul 8, 2005",https://cdn.myanimelist.net/images/anime/1976/99376.jpg,"Comedy, Supernatural, Magic, Romance, Seinen",TV
769,「C」 THE MONEY OF SOUL AND POSSIBILITY CONTROL,11,"Apr 15, 2011 to Jun 24, 2011",https://cdn.myanimelist.net/images/anime/5/50551.jpg,"Action, Mystery, Super Power, Thriller",TV
1055,ひとりぼっちの○○生活,12,"Apr 6, 2019 to Jun 22, 2019",https://cdn.myanimelist.net/images/anime/1130/99458.jpg,"Comedy, School, Shounen, Slice of Life",TV
1401,ぐらんぶる,12,"Jul 14, 2018 to Sep 29, 2018",https://cdn.myanimelist.net/images/anime/1302/94882.jpg,"Slice of Life, Comedy, Seinen",TV
1753,ポケットモンスター サン＆ムーン,146,"Nov 17, 2016 to Nov 3, 2019",https://cdn.myanimelist.net/images/anime/11/84673.jpg,"Action, Game, Kids, Fantasy, School",TV
1428,捏造トラップ―NTR―,12,"Jul 5, 2017 to Sep 20, 2017",https://cdn.myanimelist.net/images/anime/10/86667.jpg,"Drama, Romance, Shoujo Ai",TV
354,キャシャーン SINS,24,"Oct 2, 2008 to Mar 16, 2009",https://cdn.myanimelist.net/images/anime/8/23336.jpg,"Action, Adventure, Drama, Psychological, Sci-Fi",TV
742,明日のよいち！,12,"Jan 9, 2009 to Mar 27, 2009",https://cdn.myanimelist.net/images/anime/6/20621.jpg,"Harem, Comedy, Romance, Ecchi, Martial Arts, Shounen",TV
240,劇場版 空の境界 the Garden of sinners 第二章『殺人考察（前）』,1,"Dec 29, 2007",https://cdn.myanimelist.net/images/anime/3/21737.jpg,"Action, Mystery, Supernatural, Romance, Thriller",Movie
700,コードギアス 復活のルルーシュ,1,"Feb 9, 2019",https://cdn.myanimelist.net/images/anime/1274/113436.jpg,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",Movie
660,カレイドスター,51,"Apr 3, 2003 to Mar 27, 2004",https://cdn.myanimelist.net/images/anime/1230/98847.jpg,"Comedy, Sports, Drama, Fantasy, Shoujo",TV
1270,イクシオン サーガ DT,25,"Oct 8, 2012 to Apr 1, 2013",https://cdn.myanimelist.net/images/anime/8/42863.jpg,"Action, Comedy, Fantasy",TV
1811,クオリディア・コード,12,"Jul 10, 2016 to Sep 25, 2016",https://cdn.myanimelist.net/images/anime/6/80823.jpg,"Action, Magic, Supernatural",TV
1438,プリンセスコネクト！Re:Dive,13,"Apr 7, 2020 to Jun 30, 2020",https://cdn.myanimelist.net/images/anime/1810/106070.jpg,"Action, Adventure, Comedy, Fantasy",TV
246,劇場版 空の境界 the Garden of sinners 終章,1,"Feb 2, 2011",https://cdn.myanimelist.net/images/anime/6/78756.jpg,Mystery,Special
208,フェイト/ゼロ,13,"Oct 2, 2011 to Dec 25, 2011",https://cdn.myanimelist.net/images/anime/1887/117644.jpg,"Action, Supernatural, Magic, Fantasy",TV
1339,超次元ゲイム ネプテューヌ THE ANIMATION,12,"Jul 12, 2013 to Sep 27, 2013",https://cdn.myanimelist.net/images/anime/6/52141.jpg,"Action, Comedy, Fantasy, Parody, Sci-Fi, Supernatural",TV
1804,多田くんは恋をしない,13,"Apr 5, 2018 to Jun 28, 2018",https://cdn.myanimelist.net/images/anime/1446/91841.jpg,"Comedy, Romance, Slice of Life",TV
131,月詠 −MOON PHASE−,25,"Oct 5, 2004 to Mar 29, 2005",https://cdn.myanimelist.net/images/anime/13/75255.jpg,"Comedy, Romance, Vampire, Fantasy, Seinen",TV
626,さらい屋 五葉,12,"Apr 16, 2010 to Jul 2, 2010",https://cdn.myanimelist.net/images/anime/4/75203.jpg,"Mystery, Historical, Drama, Samurai, Seinen",TV
1720,テラフォーマーズ リベンジ,13,"Apr 2, 2016 to Jun 25, 2016",https://cdn.myanimelist.net/images/anime/9/78566.jpg,"Action, Sci-Fi, Space, Horror, Drama, Seinen",TV
